savings_rate,burn_rate,goal_completion_ratio,impulse_score,budget_efficiency,volatility_score,cluster
0.07,130.0,0.36,0.29,68.0,0.6,2
0.08,322.0,0.64,0.21,70.0,0.1,3
0.17,488.0,0.69,0.24,85.0,0.28,1
0.54,309.0,0.55,0.64,69.0,0.5,0
0.06,352.0,0.64,0.5,72.0,0.16,1
0.24,378.0,0.65,0.41,62.0,0.21,3
0.31,282.0,0.71,0.32,69.0,0.46,0
0.15,351.0,0.21,0.23,61.0,0.28,3
0.39,334.0,0.26,0.21,54.0,0.19,3
0.48,460.0,0.96,0.54,80.0,0.11,0
0.1,118.0,0.1,0.09,83.0,0.42,2
0.37,212.0,0.28,0.06,81.0,0.64,2
0.3,480.0,0.59,0.45,73.0,0.31,0
0.22,456.0,0.61,0.2,69.0,0.41,3
0.16,282.0,0.76,0.59,93.0,0.2,1
0.46,348.0,0.66,0.52,76.0,0.14,0
0.1,211.0,0.79,0.31,74.0,0.1,1
0.18,175.0,0.29,0.52,51.0,0.37,2
0.34,285.0,0.06,0.55,67.0,0.51,2
0.27,241.0,0.78,0.6,69.0,0.24,0
0.44,333.0,0.39,0.22,70.0,0.41,0
0.13,131.0,0.26,0.04,79.0,0.26,2
0.4,490.0,0.81,0.0,77.0,0.38,0
0.32,494.0,0.31,0.55,80.0,0.23,1
0.29,379.0,0.33,0.3,88.0,0.05,1
0.11,314.0,0.56,0.12,91.0,0.16,1
0.34,224.0,0.68,0.34,86.0,0.19,0
0.17,426.0,0.5,0.3,98.0,0.26,1
0.8,374.0,0.78,0.33,51.0,0.36,0
0.13,165.0,0.23,0.25,60.0,0.08,3
0.13,464.0,0.73,0.47,50.0,0.11,3
0.34,429.0,0.82,0.12,82.0,0.25,0
0.03,480.0,0.57,0.27,95.0,0.55,1
0.16,390.0,0.61,0.17,62.0,0.34,3
0.26,345.0,0.23,0.45,96.0,0.11,1
0.25,267.0,0.96,0.17,53.0,0.08,3
0.07,473.0,0.34,0.09,97.0,0.22,1
0.46,446.0,0.45,0.38,68.0,0.24,0
0.54,118.0,0.82,0.36,55.0,0.47,0
0.26,111.0,0.31,0.06,74.0,0.11,1
0.07,251.0,0.53,0.56,63.0,0.35,2
0.05,424.0,0.25,0.36,64.0,0.11,3
0.13,495.0,0.66,0.22,65.0,0.52,3
0.33,160.0,0.8,0.03,90.0,0.46,0
0.12,338.0,0.24,0.49,77.0,0.45,2
0.11,252.0,0.12,0.36,66.0,0.45,2
0.32,488.0,0.03,0.42,81.0,0.21,1
0.22,437.0,0.32,0.4,86.0,0.55,2
0.3,435.0,0.49,0.05,64.0,0.24,3
0.4,287.0,0.88,0.24,71.0,0.35,0
0.18,266.0,0.57,0.54,56.0,0.56,2
0.23,209.0,0.56,0.07,59.0,0.07,3
0.18,123.0,0.74,0.28,84.0,0.48,2
0.27,446.0,0.59,0.1,59.0,0.36,3
0.24,425.0,0.38,0.46,76.0,0.4,2
0.33,500.0,0.32,0.3,85.0,0.14,1
0.44,499.0,0.73,0.46,55.0,0.15,0
0.39,322.0,0.7,0.43,78.0,0.27,0
0.1,408.0,0.17,0.68,63.0,0.27,2
0.21,478.0,0.55,0.68,98.0,0.2,1
0.17,440.0,0.36,0.08,74.0,0.52,3
0.08,137.0,0.2,0.05,82.0,0.37,2
0.1,435.0,0.78,0.43,52.0,0.13,3
0.02,264.0,0.41,0.2,57.0,0.12,3
0.17,365.0,0.34,0.13,69.0,0.37,3
0.23,477.0,0.27,0.48,83.0,0.09,1
0.37,198.0,0.69,0.12,82.0,0.21,0
0.09,105.0,0.55,0.43,60.0,0.34,2
0.59,110.0,0.5,0.53,57.0,0.31,0
0.61,384.0,0.25,0.13,97.0,0.33,0
0.42,470.0,0.34,0.77,68.0,0.43,0
0.13,287.0,0.31,0.52,73.0,0.1,1
0.17,250.0,0.5,0.06,55.0,0.49,3
0.56,317.0,0.86,0.13,96.0,0.4,0
0.22,444.0,0.37,0.39,83.0,0.48,2
0.62,361.0,0.6,0.45,75.0,0.34,0
0.24,193.0,0.59,0.29,72.0,0.26,2
0.11,410.0,0.62,0.09,53.0,0.2,3
0.39,154.0,0.49,0.28,61.0,0.35,2
0.1,166.0,0.18,0.16,93.0,0.15,1
0.58,345.0,0.82,0.74,81.0,0.12,0
0.21,196.0,0.2,0.5,60.0,0.11,2
0.54,382.0,0.43,0.22,59.0,0.37,0
0.32,240.0,0.51,0.59,68.0,0.35,2
0.55,211.0,0.45,0.54,81.0,0.4,0
0.6,500.0,0.34,0.29,77.0,0.04,0
0.15,116.0,0.52,0.21,76.0,0.37,2
0.36,358.0,0.85,0.08,93.0,0.44,0
0.37,115.0,0.38,0.36,93.0,0.07,1
0.23,404.0,0.39,0.19,92.0,0.23,1
0.09,192.0,0.23,0.62,85.0,0.34,2
0.51,136.0,0.1,0.25,70.0,0.52,2
0.24,359.0,0.33,0.39,63.0,0.11,3
0.1,393.0,0.85,0.37,98.0,0.19,1
0.17,371.0,0.31,0.09,52.0,0.5,3
0.46,121.0,0.84,0.53,81.0,0.24,0
0.09,218.0,0.71,0.66,92.0,0.27,2
0.19,280.0,0.57,0.72,64.0,0.34,2
0.14,215.0,0.25,0.16,99.0,0.18,1
0.27,424.0,0.34,0.22,94.0,0.27,1
0.47,152.0,0.72,0.21,60.0,0.17,0
0.48,345.0,0.63,0.13,64.0,0.14,0
0.04,495.0,0.4,0.5,95.0,0.21,1
0.19,461.0,0.51,0.18,55.0,0.17,3
0.19,189.0,0.67,0.06,59.0,0.12,3
0.13,100.0,0.71,0.7,80.0,0.25,2
0.33,492.0,0.39,0.26,57.0,0.12,3
0.22,453.0,0.2,0.15,79.0,0.12,1
0.53,468.0,0.18,0.23,79.0,0.44,0
0.18,266.0,0.23,0.09,80.0,0.22,1
0.26,398.0,0.65,0.39,63.0,0.1,3
0.12,185.0,0.19,0.31,91.0,0.38,2
0.24,257.0,0.54,0.29,99.0,0.25,1
0.0,441.0,0.42,0.07,64.0,0.35,3
0.11,151.0,0.56,0.58,93.0,0.33,2
0.38,458.0,0.51,0.24,65.0,0.32,3
0.11,299.0,0.28,0.48,67.0,0.28,2
0.43,270.0,0.97,0.33,89.0,0.43,0
0.41,222.0,0.43,0.25,57.0,0.3,3
0.41,467.0,0.38,0.39,53.0,0.62,3
0.41,307.0,0.86,0.53,69.0,0.4,0
0.13,422.0,0.65,0.04,56.0,0.46,3
0.15,443.0,0.25,0.29,54.0,0.2,3
0.31,469.0,0.85,0.66,79.0,0.13,0
0.25,221.0,0.66,0.13,59.0,0.06,3
0.14,236.0,0.07,0.74,65.0,0.22,2
0.21,338.0,0.48,0.31,86.0,0.08,1
0.27,277.0,0.23,0.15,55.0,0.4,3
0.37,473.0,0.78,0.78,100.0,0.61,0
0.39,259.0,0.4,0.22,65.0,0.31,3
0.34,291.0,0.59,0.2,77.0,0.19,0
0.28,347.0,0.55,0.45,90.0,0.24,1
0.3,262.0,0.3,0.35,62.0,0.55,2
0.33,497.0,0.71,0.19,67.0,0.33,3
0.19,140.0,0.51,0.34,60.0,0.62,2
0.12,188.0,0.81,0.22,69.0,0.29,3
0.64,229.0,0.71,0.06,87.0,0.14,0
0.17,159.0,0.32,0.19,86.0,0.44,2
0.09,214.0,0.33,0.28,59.0,0.12,3
0.04,412.0,0.41,0.91,74.0,0.26,2
0.09,309.0,0.45,0.02,84.0,0.08,1
0.03,114.0,0.53,0.35,87.0,0.33,2
0.22,493.0,0.83,0.28,82.0,0.09,1
0.13,346.0,0.44,0.33,60.0,0.26,3
0.12,124.0,0.1,0.56,93.0,0.28,2
0.37,364.0,0.02,0.49,64.0,0.07,1
0.49,251.0,0.4,0.5,68.0,0.24,0
0.29,154.0,0.42,0.36,78.0,0.55,2
0.26,325.0,0.52,0.33,93.0,0.17,1
0.39,391.0,0.5,0.47,82.0,0.08,1
0.2,368.0,0.77,0.21,85.0,0.28,1
0.13,199.0,0.06,0.54,61.0,0.1,2
0.27,310.0,0.32,0.39,68.0,0.09,1
0.67,315.0,0.63,0.09,57.0,0.36,0
0.45,387.0,0.63,0.33,87.0,0.12,0
0.24,244.0,0.08,0.56,97.0,0.28,2
0.23,419.0,0.76,0.49,87.0,0.21,1
0.12,351.0,0.44,0.11,56.0,0.42,3
0.06,115.0,0.75,0.03,85.0,0.44,2
0.16,319.0,0.11,0.53,72.0,0.14,2
0.16,445.0,0.37,0.57,55.0,0.42,3
